request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot,cached_tokens
00f4294f-bc77-4ce6-916c-faba8a15f3ec,5dd9f1a3-4e6f-464a-8f1d-d8d4ae2947aa,23188214.379459396,23188214.735855762,23188222.80147089,2165,200,0.3563963659107685,8.065615128725767,0
59ae1e28-ac00-48e8-b123-9ebb6895461a,d437184f-af97-4148-8cbd-eb12f0d7f709,23188214.87975943,23188215.178389262,23188223.540519238,3614,200,0.29862983152270317,8.362129975110292,0
4370ca3a-8707-4368-97c6-248c9f2e084f,2777b5d2-e945-4567-878d-eef6117ca681,23188215.38016686,23188215.420658924,23188223.871924132,399,200,0.040492065250873566,8.451265208423138,0
32fe4707-4c5b-48fa-a6ca-f20ea7c1f780,edfa774f-124a-49ff-a606-0521f8db0d67,23188215.880417246,23188216.033526547,23188225.295039646,2265,200,0.15310930088162422,9.261513099074364,0
1c966465-334c-4232-b088-065a738a4cb2,daa83ba0-7abc-4bef-af09-d89206e348fa,23188216.38063841,23188216.82576619,23188226.91948129,5574,200,0.44512778148055077,10.093715097755194,0
5db3c16b-dd1f-42b8-b43c-d181e5727ea3,b69348dc-9592-417b-aa14-2fc34f8ba122,23188216.881607454,23188217.02494229,23188227.866155166,1915,200,0.14333483576774597,10.841212876141071,0
9d060d85-13fc-403b-b3eb-b9d5e60507de,0a7f3fcd-8be4-488f-831f-f6c7ffb8b389,23188217.38186108,23188217.847002313,23188228.918778874,6016,200,0.4651412330567837,11.071776561439037,0
82a6809c-85c3-4355-979a-4a8a0dde1301,7bd66ba9-56f6-4dc4-adf0-4e947353a276,23188217.882177938,23188218.346972343,23188229.450780176,6027,200,0.4647944048047066,11.103807833045721,0
27619430-7407-49b9-bd6d-0ec56b2dab2e,65b9c897-1dab-47c6-ac49-c9ef31e9fef3,23188218.382756047,23188218.85745374,23188229.95431079,5916,200,0.47469769418239594,11.09685704857111,0
a6e0dd8b-5392-470b-9148-ae7786a928f1,694051c7-1906-4083-b980-4ed062353fa1,23188218.882931143,23188218.984204847,23188230.436514925,1093,200,0.10127370432019234,11.45231007784605,0
b5676aa7-f498-4ae2-821f-80df0541e4ac,6756322f-c9a7-4176-b34e-ab7091cfa5e5,23188219.38364798,23188219.518073075,23188231.132656258,1519,200,0.1344250962138176,11.614583183079958,0
af359813-8af1-4da9-aed9-32bd19734346,feee7525-c18c-4b68-bda3-64efe19d74ce,23188219.88421593,23188220.0164409,23188231.848823104,1370,200,0.13222496956586838,11.832382205873728,0
606a48d4-e2fb-47dc-b80b-1e81c85935e9,b4641791-ed83-440b-9061-e20766ca0d76,23188220.386197183,23188220.83389448,23188232.926269203,5723,200,0.4476972967386246,12.092374723404646,0
42b81085-2383-410a-9489-6859793c4d67,63df5649-1511-4f34-9865-55b223e51375,23188220.887022644,23188221.34926101,23188233.54690394,5671,200,0.4622383639216423,12.1976429335773,0
daf29334-4cac-41ba-a922-609e5c375f2e,7fdeeb70-ef5e-4efb-a1ce-ec93be2a7bb4,23188221.388560247,23188221.84925355,23188233.661553055,5961,200,0.4606933034956455,11.812299504876137,0
694d659a-0a44-4c92-ad44-fd57391384b8,88de35cd-4b48-4bdd-832a-9bb34692b44b,23188221.88978552,23188222.34619282,23188233.766465344,5745,200,0.4564073011279106,11.420272521674633,0
3e00275b-9cbf-482a-97e5-d650e5977c67,c0742c9a-b7c5-43ed-933f-a99b4fcb3c1f,23188222.39056404,23188222.80364721,23188233.897976235,4961,200,0.41308316960930824,11.09432902559638,0
4e3e9fa3-2329-4ecb-a316-27c565514078,fa9a9685-50d8-40e1-afe8-27722934c405,23188222.892092753,23188223.342654705,23188234.42966829,5654,200,0.4505619518458843,11.087013583630323,0
e131cd64-0be8-4971-9767-85e4a8a6dc34,2e7b2fe3-33ba-42fb-8284-5c010d8d43a1,23188223.392350923,23188223.48855147,23188234.6928816,786,200,0.09620054811239243,11.204330127686262,0
9b038636-4f16-4f50-a133-7e9ad60b3ac0,d613151c-8987-455b-92fa-b13d62abc221,23188223.8941046,23188224.36677544,23188235.88177743,5727,200,0.4726708382368088,11.515001993626356,0
