request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot,cached_tokens
85dc0405-82e9-49f4-b5be-8d6ce998ca8b,b8b98ec4-fff9-40a0-b2f2-b6048e67c342,23191096.51650121,23191096.817077413,23191113.45481807,3614,200,0.30057620257139206,16.637740656733513,0
1fe0e915-6664-4f9a-8f76-0e0aaefb6364,767283e1-b105-4de6-8b1d-70231dfafbe8,23191096.346927814,23191096.98729077,23191113.49163521,2165,200,0.6403629556298256,16.504344440996647,0
a87b7080-997d-4729-8285-a69fcb80fe51,bf35eab9-3065-4af1-bd62-157b8c483321,23191096.684351712,23191096.987860333,23191113.49600504,399,200,0.30350862070918083,16.508144706487656,0
b33f5004-1aa9-43eb-a4b4-7ff7abaafbb7,4bf8f569-b90d-4904-9838-72f102c9fa7f,23191096.8513368,23191097.12386322,23191113.87641628,2265,200,0.27252642065286636,16.752553060650826,0
388fc68a-b840-4a7b-b984-8d0773138c84,518b15f4-e1a9-44ea-ac35-37b436cb506c,23191097.019094333,23191097.556102388,23191114.103447974,5574,200,0.5370080545544624,16.547345586121082,0
9b685782-c1d9-4f70-a98c-32547d3050c2,099f6a75-a50e-4485-929f-d8c199e49231,23191097.186696276,23191098.13569512,23191114.429402225,1915,200,0.9489988423883915,16.293707106262445,0
9220fc0b-da5f-4010-ad27-060401b151a2,7f356c23-46fc-492e-8b50-82c935490980,23191097.354582056,23191098.136341657,23191114.429428503,6016,200,0.7817596010863781,16.29308684542775,0
b5983de9-6882-48cf-be18-af1092103201,3f00b912-08eb-40db-88d9-454a29d4966a,23191097.52190833,23191098.750561725,23191115.039322536,6027,200,1.2286533936858177,16.28876081109047,0
5033ff4d-df1e-4526-80ce-3062de5b91a3,c5781d21-9ebb-477f-a5b9-fb59622b313f,23191098.023698848,23191099.340575796,23191115.67202927,1519,200,1.3168769478797913,16.33145347610116,0
df990835-6444-474f-8fbb-794d4ded1ae2,92d5f412-9ae8-4196-9305-3ed18a4eb3e7,23191098.19086719,23191099.339123014,23191115.67207575,1370,200,1.1482558250427246,16.332952734082937,0
c70020ea-78d3-400e-98a3-1726d9843d17,9e1668d6-85d8-420c-9b5e-bff4587881e8,23191097.85671378,23191099.341002423,23191115.67208356,1093,200,1.4842886440455914,16.33108113706112,0
93bd8c82-8f3a-497e-9668-321d72ff5416,6e4778d2-7bb2-49a8-8bbe-f034a9ca283e,23191097.689632196,23191099.340307713,23191115.67210815,5916,200,1.6506755165755749,16.331800438463688,0
9890dba5-180b-42df-9540-2525ec5decf7,f517888f-0d4e-4c9c-9264-4da8bd6e23d3,23191098.358127184,23191099.96172945,23191116.289709866,5723,200,1.6036022640764713,16.327980417758226,0
6e76c519-dc08-4587-b8ca-700a60129249,ad4ec7fb-7a50-4794-9f91-33f34243b2e1,23191098.52676693,23191100.581575062,23191116.68636439,5671,200,2.054808132350445,16.104789327830076,0
304308c6-b15f-4c32-acd9-4c77f9fd9098,390946e9-c4b9-434c-b793-ce0cfc287f58,23191098.69373856,23191100.57986607,23191116.6866168,5961,200,1.886127509176731,16.10675073042512,0
7ba8c866-fabb-4c75-aaf2-4dc56fc090b4,295574eb-87c8-4ca7-bd83-60fc7e86d4ef,23191098.860850368,23191101.191593274,23191117.294278864,5745,200,2.330742906779051,16.10268558934331,0
bd0a50c9-1f82-469e-bd74-cadf46723532,65863cd3-0268-4b79-aa52-b20f3f984b84,23191099.028474927,23191101.813166518,23191117.903772656,4961,200,2.7846915908157825,16.09060613811016,0
2c50c6c1-303a-4d4c-bff9-8ebc0045963b,d98771bc-e239-461d-b0ab-150cf96d456f,23191099.363373242,23191101.81437395,23191117.903809935,786,200,2.4510007090866566,16.08943598344922,0
9de2eed7-8f66-4c40-9ee3-30ea8dc89afb,70a9180b-673e-4ac6-83b6-19d6ef3a8255,23191099.195918147,23191101.814948674,23191117.903825462,5654,200,2.6190305277705193,16.0888767875731,0
2e5184a0-83ae-439a-ae90-c79f7132659d,819c7fe0-49ea-41e5-9bd6-441f6c39de4a,23191099.531127825,23191102.421792366,23191118.51574117,5727,200,2.890664540231228,16.093948803842068,0
321693ae-4ccc-44c2-a57c-f5eea438ed0d,77e77369-0265-45ac-86c1-8630a54214b2,23191099.698064804,23191102.42472131,23191118.515853122,2956,200,2.7266565077006817,16.091131810098886,0
3e5e06f1-9d70-4a30-a78d-6949e5b362c2,8a9793cc-ff7d-49a3-ac8c-e8f6be2fdb36,23191099.864982657,23191103.036857933,23191119.1524313,2050,200,3.171875275671482,16.11557336896658,0
b4583ce5-2f41-4a03-8269-d39c003d1030,ad18b4e6-8ed5-4179-b897-dab990592de7,23191100.032494795,23191103.038878534,23191119.152486954,5749,200,3.006383739411831,16.113608419895172,0
e69f4275-5d19-4fbc-9419-9379934b0ff4,f2087836-11c9-4ea4-8d2d-ce46c7bfc66e,23191100.367181197,23191103.649115093,23191119.780122165,5624,200,3.2819338962435722,16.131007071584463,0
504503a3-56eb-4100-a281-b73e3a157d16,645c22cd-dff5-4272-aa04-7b78be15a83c,23191100.199674368,23191103.64967516,23191119.780145384,3551,200,3.4500007927417755,16.130470223724842,0
