request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot,cached_tokens
55fd128e-f870-4b69-bb77-9394ea96c404,e61dfabf-08e2-484c-9383-ce1b8502c138,23181300.376354,23181300.58543877,23181305.07444798,44,256,0.20908476784825325,4.489009208977222,0
61139302-eec1-4aca-be3f-aa98f6ad31ee,4ae2adde-579b-480f-834a-b8283399f106,23181300.626904123,23181300.66566021,23181305.16864066,27,256,0.03875608742237091,4.502980448305607,0
06c7a950-db7f-4303-adc9-c8e7c671f3bb,21ffc0f4-6f5e-4ca7-bbc3-ed983db7a736,23181300.877683137,23181300.91368921,23181305.450715177,72,256,0.03600607439875603,4.537025965750217,0
689fa861-ca58-41d6-b9a6-70578f63f0e5,de4cae98-3a2f-4695-902b-c2bc0a456917,23181301.129094847,23181301.16727572,23181305.732403968,103,256,0.038180872797966,4.565128248184919,0
95ffe4d7-cfd3-4270-b153-40e742c4db27,a23c5e32-ba65-4291-8917-81efd87a52ec,23181301.379524544,23181301.418706354,23181306.011664636,14,256,0.03918180987238884,4.592958282679319,0
ead28275-22d7-4403-a5b2-232608abef23,24f06190-e295-4229-9cd0-68ea21471b7e,23181301.629808564,23181301.6746861,23181306.32375339,15,256,0.044877536594867706,4.649067290127277,0
08bb584b-c8d5-42a4-99e3-c85d18ee2668,01298d8b-b532-4f50-b6de-9ad0ef48eef8,23181301.880123336,23181301.941583242,23181306.587944154,280,256,0.06145990639925003,4.646360911428928,0
9f6f53ee-feeb-4b10-a186-cc2d17dff2ac,3ba586e2-4577-4ad4-91c3-87f78fd0fe85,23181302.13113052,23181302.166385278,23181307.110590577,26,256,0.03525475785136223,4.9442052990198135,0
8fa6f5ec-c6f7-4e06-b0d0-825043c674a0,f4a0e44d-46b4-44cb-8243-3c2bbc11dee6,23181302.381845888,23181302.421562977,23181307.638278227,27,256,0.039717089384794235,5.21671525016427,0
514bb644-1a49-45d2-a5ee-b2e73af239f6,cc37b10f-d5b9-4f1b-b18b-44b465d97b85,23181302.632337578,23181302.676573645,23181307.932331037,15,256,0.044236067682504654,5.255757391452789,0
cfa0b58e-4dec-4b13-9832-2742cf2b415d,aa2ccb43-e12b-4052-b27f-27caeb9874ed,23181302.883880973,23181302.92389497,23181308.436221268,60,256,0.04001399874687195,5.512326296418905,0
c6393c93-4a32-460c-bab2-44e336c60a5f,a73fd04d-472a-40c3-8aed-76cf69c4ad2d,23181303.135150097,23181303.170732256,23181308.85976324,20,256,0.03558215871453285,5.689030982553959,0
2a134a49-0753-45ee-b175-e5b7107deb4d,04ca58b5-015e-4e7c-a82f-665cea78ae5b,23181303.385959707,23181303.433617927,23181309.308637362,34,256,0.04765821993350983,5.875019434839487,0
38f0ddd0-5299-4f90-8b57-df550f99bd74,7e885968-1bdb-4446-ae26-98fb3e51d400,23181303.636067487,23181303.67942815,23181309.656266984,43,256,0.04336066171526909,5.976838834583759,0
6e913e07-83c9-440a-8d51-23ea3226d1c5,8904c585-f072-4376-8511-32b7b739908b,23181305.141072962,23181305.186691403,23181309.79346657,13,177,0.045618440955877304,4.606775168329477,0
00a8475f-97c3-48b8-8695-d73c2f4e6dfb,15276d71-a7ea-4ffd-b370-0cd283385a98,23181303.88646517,23181303.930483326,23181310.012686543,72,256,0.044018156826496124,6.082203216850758,0
df8e0661-2a19-42c4-9d7e-b0a65e7900d1,beed9c63-e555-465b-988a-f0caeefe130a,23181304.13844603,23181304.17891661,23181310.317554533,16,256,0.040470581501722336,6.13863792270422,0
b1efa01d-a7c8-46ee-a52f-ec6353e49b0e,c8fe8380-0946-4e3c-bc57-95a610058445,23181306.394607857,23181306.437217046,23181310.435145225,80,143,0.042609188705682755,3.9979281798005104,0
