request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot,cached_tokens
6660e183-4334-42ce-bf24-16ab6015a4c7,960542ef-ebf3-4d1a-83d0-d67715657b64,23192881.812610872,23192881.848585784,23192886.787875663,15,280,0.03597491234540939,4.939289879053831,0
545f151e-9e90-4b8a-ba28-3ec504194683,c919f5d0-3cbc-4f02-9077-eae5b8c57d23,23192879.808807332,23192880.12211278,23192893.570170067,27,715,0.31330544874072075,13.448057286441326,0
155212fe-5fa9-4f33-831f-cedcb24ee32c,8a8469cc-6c2d-41b3-8c9c-2a45ca36a0a0,23192889.323415857,23192889.368369877,23192895.477728114,22,267,0.04495402052998543,6.109358236193657,0
c05992b4-3416-40a5-8b72-5e4b9fa87993,40870db7-4867-4f85-9cb2-9e93d5654492,23192888.82168685,23192888.85511346,23192895.49807137,13,296,0.03342661261558533,6.642957907170057,0
c0d95d09-d437-4c59-bcdc-f4cf4ba0f30a,2ed694c1-f259-4021-9d37-b72335e6990c,23192880.810055975,23192880.849181425,23192895.53917178,103,752,0.03912544995546341,14.689990356564522,0
35b69472-455c-4c5c-8e73-727822899fd7,93075a9d-c05c-4a74-be65-d4827d372bf7,23192887.820175108,23192887.851416584,23192896.189787153,18,375,0.03124147653579712,8.338370569050312,0
4de72444-be0d-473a-9ad5-69d56aede950,0dd202f3-0cd3-4e59-9b99-c8d6874b9418,23192879.307825364,23192880.10715261,23192901.089085735,44,1024,0.7993272468447685,20.981933124363422,0
884590ea-f5f2-4256-9bb6-29f6ac03dbf0,793b3e21-0022-4941-917d-866e6d6797e8,23192880.30961782,23192880.342126396,23192901.382361278,72,1024,0.032508574426174164,21.04023488238454,0
59ca10c8-c4af-439a-a0f0-d22f8f26479f,9f7febc6-b15b-4d3d-9002-237bc137f1aa,23192891.328250088,23192891.36031154,23192902.20370881,80,447,0.03206145390868187,10.8433972671628,0
306aa926-66cf-44e2-9a40-c85e293786c1,66f9fc50-1b38-4d91-93d0-1abdd0c6c001,23192881.311907757,23192881.352679383,23192902.66281048,14,1024,0.04077162593603134,21.31013109534979,0
68c47f8c-3c4c-4c6c-a508-e95480c0c78f,9d6766a4-f252-4d04-80e4-787509246ec9,23192882.313595556,23192882.39237461,23192903.938781425,280,1024,0.07877905294299126,21.54640681669116,0
60a7dc1b-d25b-4b18-8d64-6f479582dfd8,e53ff6ca-d42f-4487-9b99-8bd30161b55b,23192882.814424783,23192882.850212183,23192904.500052642,26,1024,0.03578739985823631,21.649840459227562,0
6f9a9695-b59a-4e9e-851e-baa802bc7640,6a7c77e8-187d-47df-834b-368a201a362f,23192883.31521686,23192883.353161693,23192905.112534817,27,1024,0.03794483095407486,21.759373124688864,0
30808ddb-1bc6-41b9-8e76-3e774ccf8be3,2ed6ebd0-71fa-4774-ae1b-b1b7ceadbbc9,23192883.81596049,23192883.847648345,23192905.700917516,15,1024,0.03168785572052002,21.853269170969725,0
c3a3fbaf-8d5d-4d75-adc2-738cebdcc037,0689c05c-8eae-4afa-9f85-42205a16b41d,23192884.316454124,23192884.359420266,23192906.298009124,60,1024,0.04296614229679108,21.938588857650757,0
6b1f9ec0-c2a4-4686-95fa-27f95af849c0,206da5ff-4614-4576-aecd-7a77f34f6c42,23192884.81775842,23192884.854335275,23192906.887423083,20,1024,0.036576855927705765,22.03308780863881,0
182f9679-5b3b-4b22-81d3-21beb0b43147,1d471caf-4038-42c8-8a78-9fb5b69ccc8b,23192885.317969456,23192885.361984674,23192907.47638979,34,1024,0.04401521757245064,22.114405117928982,0
9c891615-bd87-43af-9420-7397736bbe5e,1b7d5a30-f100-4bab-9b02-5effd1e25be0,23192885.818092562,23192885.853734218,23192908.123589743,43,1024,0.03564165532588959,22.26985552534461,0
bbbca249-73d7-401f-9f34-2c7742ed9514,e6901498-5d47-4f06-8959-efbec4bf1b95,23192895.33650682,23192895.3746841,23192908.749208048,37,586,0.03817727789282799,13.37452394887805,0
c3b2f585-66be-4279-bbe8-8435a4f31ace,b67a2c09-bc29-482f-bfc6-6781a82e21c5,23192886.318414155,23192886.360229287,23192909.024730276,72,1024,0.0418151319026947,22.66450098901987,0
ea91053e-76b9-4add-a70c-988575cf2922,21bec3bf-5024-49d3-86b8-9ef53e506e9f,23192886.819188297,23192886.855035376,23192909.85368062,16,1024,0.03584707900881767,22.9986452460289,0
cade2298-9277-4c5e-b716-65fe147832e0,5c294e37-b0b1-4384-8393-56b95cfbfbcb,23192887.319759928,23192887.36031221,23192910.491160873,18,1024,0.040552280843257904,23.130848664790392,0
a706a388-bbb1-4edc-b358-dfec4380169d,d92b1cd3-150c-416d-88a1-07637d82e0bc,23192888.320648648,23192888.36241397,23192911.759435866,57,1024,0.04176532104611397,23.397021897137165,0
53d38c88-353f-4385-9173-01dcbfb23adc,3de4a712-7ef1-459b-b2e3-634a9a96da13,23192889.82439812,23192889.859758403,23192913.612683598,57,1024,0.03536028414964676,23.7529251947999,0
b28d27c7-acea-44c0-904e-f66efb4730bf,1a1fa95f-a00b-4d45-9f59-68a55da8f1dd,23192890.325062368,23192890.37232999,23192914.233872622,29,1024,0.047267623245716095,23.861542630940676,0
ade45111-8041-4c12-9fad-6a1c053a090b,93e99737-3bd1-4b0b-9c6d-06366f36f380,23192890.82793661,23192890.910091087,23192914.858036403,350,1024,0.08215447887778282,23.947945315390825,0
2af386dc-e202-4af6-b0d4-aa4d66ae4a54,e5a041b8-0679-452a-9fad-33d0887bc572,23192891.828486312,23192892.224555224,23192916.294634145,2560,1024,0.39606891199946404,24.070078920572996,0
027ea818-885e-4e75-aa28-030771cfefe4,01ecc45e-2706-4c9e-9eae-cd1efb8052e1,23192892.328706417,23192892.525353473,23192916.56023117,1069,1024,0.1966470554471016,24.034877698868513,0
058e9b93-91bd-4e8e-90da-b609d13b6810,20983413-0b72-485a-a3ff-d7640a8ef0d4,23192892.8301481,23192893.299319856,23192917.205966413,3157,1024,0.46917175501585007,23.90664655715227,0
