request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
b006a32d-fc0e-46ee-970d-8abdd4781403,a1329327-31f8-4e0e-8c96-d4c38c61242d,1063831.149894865,1063831.350857678,1063831.7327383412,1706,37,0.20096281310543418,0.3818806631024927
0dbd10a8-0429-44e5-9cc8-82231ef2fae6,6ccb629d-90a9-4625-b6a2-eeeb27f2e288,1063831.262214359,1063831.3789495998,1063833.0394223349,1214,200,0.11673524091020226,1.6604727350641042
9735a8e0-6672-44c9-8a04-494453447085,7566167e-bf47-4f1f-b7d0-e3cef448181a,1063831.149886202,1063831.4255338279,1063833.063526569,2344,200,0.2756476257927716,1.637992741074413
7cdcd05b-f8e7-4708-afd2-45cde79b88ac,a5fcfe4e-eb51-4ac0-b8bc-d87496e3d9cb,1063829.55165678,1063829.8330915482,1063831.558732283,1428,200,0.28143476811237633,1.7256407348904759
05352a52-5036-4000-bac7-59d920874608,db7e9f5d-8a61-4add-b03f-97cfb3b8ea31,1063829.551663555,1063829.8679630219,1063831.5847338268,2053,200,0.316299466881901,1.71677080495283
f66031f6-cb0b-4875-8524-fa4ef322e0c6,e89d00a2-aef6-4faf-a8f6-58052acdc0b2,1063831.262212414,1063831.5396561262,1063833.1103410833,3458,200,0.2774437121115625,1.5706849570851773
8238832a-0072-4eae-8bbd-cb69065e87ac,01d20233-ba05-4142-a870-402681c0fb91,1063831.262216169,1063831.600191437,1063833.124366687,5176,197,0.3379752680193633,1.5241752499714494
f09268c0-22e2-4f87-b180-3e8c93a040b9,586ddd63-a522-48ce-ae0d-777af55d3cac,1063831.262203279,1063831.6256460098,1063833.1712429689,6349,200,0.36344273085705936,1.5455969590693712
6f195c63-57b5-4e57-8b3f-e0f97a518132,2578c165-88d2-4fcf-8239-ee23a11cde02,1063831.26220953,1063831.626458687,1063833.231818124,6458,200,0.36424915702082217,1.605359436944127
56d5c858-32c5-404a-a128-e200436c9d55,b87d1b47-75a0-4129-8580-a96e0868928f,1063829.551629078,1063831.6496697452,1063833.3720627802,5528,200,2.0980406671296805,1.7223930349573493
2ececfd8-0736-48ce-9867-6defa63e3a55,5363cb6c-edd6-43d7-9a0e-58df46053aa0,1063829.551897594,1063830.1149727292,1063831.8275361592,6179,200,0.5630751352291554,1.7125634299591184
19f9ef62-8878-444b-ace5-bff491339da7,5fcd7bbd-da7e-4afa-95ef-18c316df5c14,1063832.315332527,1063833.350912363,1063833.5443724012,6292,30,1.0355798359960318,0.19346003816463053
865e3d1a-1d61-4d50-961c-66602a3b114c,d0f54797-351a-4ec4-a3a2-dec8278c55cf,1063832.315317955,1063832.523677651,1063833.978130348,841,200,0.20835969597101212,1.4544526969548315
1f3a38aa-3019-4b3f-803e-ae5f706b6bd1,f59505d6-2c8a-4269-b06b-4a09a34c57e0,1063832.315329122,1063833.2437813978,1063834.82448611,5870,200,0.9284522759262472,1.5807047120761126
