request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot,cached_tokens
a096bb58-23dc-47f6-be26-51572ad6ce03,251488a3-474a-4d1e-86f6-49623c84f87d,7943715.571974895,7943716.268018197,7943724.102056955,5794,200,0.6960433023050427,7.8340387577190995,160
0b2bdca7-82b4-4d0a-ba03-6b0039099887,99a72f5c-3b3d-4bf0-8f1c-500013043e8e,7943718.72566176,7943720.030421367,7943727.255687035,4127,200,1.304759606719017,7.225265667773783,192
a3909045-f64c-4f5d-9cad-d6de545ca195,1892b07a-1db2-46fc-84d7-4a79e9161ec8,7943718.725575321,7943720.039244806,7943727.262198185,4120,200,1.313669485040009,7.222953378222883,176
5b99c792-8289-422c-998d-19d5f1336f76,28fb12fb-b0a3-4c00-8606-abeb6200d6b0,7943720.244522423,7943720.772809679,7943727.3873536065,680,200,0.5282872561365366,6.614543927833438,192
590efcdd-81e9-40df-8399-b24cb6cc2a01,5707dd1d-3bc2-4a67-a45e-321e76e74e30,7943718.725577632,7943719.535313978,7943728.107305724,2423,200,0.8097363458946347,8.57199174631387,0
a5da4da9-49b7-40a2-917f-64512a300015,14977bc6-b841-46dd-949a-526f446325e7,7943715.571912144,7943719.540149875,7943728.112725234,5717,200,3.9682377306744456,8.57257535867393,224
1eb2f50c-5c5e-4367-ab32-7660424ab33d,5b316c78-99d1-4985-abd3-6e4e2a9b9b8b,7943718.725656807,7943720.125229264,7943728.13011635,3315,200,1.3995724562555552,8.004887086339295,176
007972e7-7c62-42f0-9970-d348166ceb67,7da1ea4a-b831-4edd-9d86-943efdff7926,7943719.246296818,7943720.196458257,7943728.15634585,3436,200,0.9501614384353161,7.959887593053281,192
e50ae0e3-86a8-4dbe-ac02-e7a5d7b38ef4,8b954204-013c-45a1-8e64-22e99087578a,7943721.254933038,7943721.841890578,7943728.296925622,1284,200,0.5869575403630733,6.455035043880343,176
8815c76e-0402-4edb-b17f-311675b3ad8b,13bf5b8a-ecb4-4110-9e16-aed2b7a862da,7943720.244519161,7943720.858087864,7943728.517938664,5836,200,0.6135687027126551,7.659850800409913,176
ea31cdd2-fcc9-45ae-8062-03c01c5d1ca6,24b68f03-c2a5-41eb-9a8b-7465c5d30b08,7943721.254927054,7943722.223045114,7943729.015580114,5857,200,0.9681180603802204,6.792534999549389,160
52d1e38c-dee1-4e20-bb88-329c3f0d56a8,2f9c2aee-388c-4fb1-b8f9-85bd785f7f6d,7943715.571963606,7943716.240857204,7943725.970712414,5661,200,0.6688935980200768,9.729855209589005,192
c3d114ca-1d16-46e1-b8fd-31dce4546889,4fdecc74-bef3-4932-b7fb-8c11f1c1ac7e,7943718.725580328,7943719.986568566,7943729.10412786,5650,200,1.2609882382676005,9.117559293285012,160
6c76db56-665b-4b23-b402-242404a214fd,0b164cbb-2285-4c89-bbd3-c2dfe7308d2b,7943719.246299869,7943720.5540266875,7943729.140908842,5965,200,1.3077268181368709,8.586882154457271,224
fb4a8e57-2e97-4270-b86b-4b74a48dc36e,078b06e7-ab7c-40cf-8562-23fdd95b649d,7943718.725501694,7943719.210651515,7943729.356589678,3323,200,0.48514982126653194,10.145938162691891,192
c01cb95b-2369-4c20-b021-700c3e9751cb,33748c07-1927-42a2-a7bc-a67ebecdee26,7943721.254919242,7943721.6660204185,7943729.586677935,3090,200,0.4111011764034629,7.9206575164571404,256
aa56414e-8915-4a4b-a777-3c037f0bf37e,a0da4e01-060a-440d-8dc1-a595bcd98d34,7943718.725649669,7943719.808207239,7943729.791332934,3779,200,1.0825575701892376,9.983125695027411,192
5d129465-3751-4df8-9a25-51bbba29acc4,cb102b8f-c978-4954-a7b4-75be58ca1971,7943715.571978782,7943716.217113756,7943726.798828263,5906,200,0.6451349733397365,10.581714507192373,160
c6f3ae4d-fff9-4185-adba-d6657f277fde,115663df-1f7f-46bb-a3c1-a4afa38184ad,7943718.725572211,7943719.988769627,7943729.959870768,5499,200,1.2631974164396524,9.971101140603423,176
c676d5df-9e38-4661-845d-c887ae6a09b9,0702b9da-c07d-42e2-9169-77753dd785dd,7943718.72565871,7943720.585694701,7943729.979770283,4843,200,1.8600359912961721,9.394075581803918,176
c6dc6114-dd32-41a6-a9da-491ee19ab745,e4170067-4de1-432f-9856-b5c27c8b5a60,7943720.244502648,7943721.14724024,7943730.013557093,5765,200,0.9027375923469663,8.86631685309112,176
c2508930-9c93-4c0a-9a01-b9b0a60eab4b,699a171f-291b-4d4b-830c-48bfad8a6530,7943721.254930116,7943722.13934519,7943730.20682144,5791,200,0.8844150733202696,8.067476250231266,160
fb96e912-978f-43f3-81a4-9375a6344dc0,180db37d-6447-4813-8c8c-57e38b2e8569,7943719.246292634,7943720.436423958,7943730.240406993,5882,200,1.1901313243433833,9.803983034566045,176
1a901f90-b11b-4b25-86bb-8f73d8709926,8da9f4fd-8b1a-4c55-bb46-ab458d8c82df,7943723.270054954,7943724.089272983,7943730.335797666,4974,200,0.819218029268086,6.2465246822685,224
9eef2d87-77db-49f4-b3bb-6bb04629c70c,97722cf0-7560-4de1-b0a8-de3edea84c1a,7943722.294180124,7943722.5629473645,7943730.662674915,2229,200,0.26876724045723677,8.099727550521493,224
a2029836-cbb7-453e-ba78-2a996d5a21a8,4bc31edd-e2f6-478d-a471-863d2d0b5f1f,7943719.246306972,7943720.908120807,7943730.6743708365,5757,200,1.6618138356134295,9.766250029206276,176
cc7164a2-7f84-4629-9c22-9958c55ef865,8b43bf2e-338c-4849-9dd0-aa257e300599,7943720.244526036,7943720.909885758,7943730.676172136,2745,200,0.665359721519053,9.766286378726363,176
44170f62-60ca-4f05-8ac3-931024c45f64,f69dcbd3-4c9e-47a7-a557-6f293de800ba,7943715.571970804,7943716.111743111,7943727.90352118,2342,200,0.5397723075002432,11.791778068989515,160
e30afed6-8327-4113-b84f-b7e66e6c3575,228ef465-279b-4ade-bd61-c30c8bd530f4,7943718.725582839,7943719.228932249,7943731.023210787,1569,200,0.5033494103699923,11.794278537854552,160
233ae7d4-cde6-44cc-b0a7-f785a11e20ff,a1a865e7-f91c-4c48-ad78-52b9da715a75,7943718.725663984,7943719.849678582,7943731.046690439,2426,200,1.1240145973861217,11.197011857293546,224
18972f37-efbb-467a-9645-28d65367f2b1,3184283f-253e-4a85-8c44-e9a332efb5fa,7943724.331279649,7943725.245476247,7943731.275399398,811,200,0.9141965974122286,6.029923151247203,288
bf9ca4b4-dfa9-4899-9aac-a0c74b2f4409,09a114dc-9e26-41a2-9556-c7dda7572a3b,7943721.254923348,7943721.789738856,7943731.304200092,2576,200,0.534815507940948,9.514461236074567,0
487c4c09-ed5d-4264-9383-df0aefa72986,daa40a1d-c651-45b9-88a6-579436a31650,7943718.725487957,7943719.539157734,7943732.160189999,5875,200,0.8136697774752975,12.621032265014946,176
140baab2-425a-459c-8ef2-142410043820,3a6703e2-fefd-4334-9a5f-13832cf1a87a,7943718.725645651,7943719.534099261,7943732.156735449,974,200,0.8084536101669073,12.622636187821627,160
02a1e462-fb25-4000-8f3e-dcc5b0591450,cf7e83b7-f9d0-4896-a29d-f61d7d475896,7943718.725665572,7943719.529654913,7943732.153747551,1559,200,0.8039893405511975,12.624092638492584,160
8a4fb439-f180-493a-a28a-3fc6658c03ab,5e79a5ca-8bcd-424f-8bff-ffd216f91010,7943719.246281607,7943720.0852475315,7943732.192649812,1365,200,0.8389659244567156,12.107402280904353,176
4aaed080-0a22-4423-982b-547a8a04aa9d,7d15b216-bc39-4f34-b2b3-d676febee0a9,7943720.244515476,7943720.755002032,7943732.256441567,4812,200,0.5104865562170744,11.501439535059035,192
a145da41-957b-456d-9db0-a747965b0689,2f00ecb3-5431-475c-92c8-62f44e364157,7943726.245024764,7943726.577964081,7943732.321373377,840,200,0.33293931744992733,5.74340929556638,176
0cfc18b8-06d7-469a-9fa2-9d2a65bc0407,19263e45-89bd-4a00-a708-a3bf3f0e3af5,7943721.254935345,7943721.946628038,7943732.743380791,2296,200,0.6916926931589842,10.79675275273621,160
76bb466d-a913-4f32-b2ac-26ad937182ea,57f7a3e9-60cc-4567-8919-92cabd76d7b4,7943718.725498273,7943719.3852903815,7943732.81971265,5758,200,0.6597921084612608,13.434422268532217,192
11fa33ff-9872-4fde-8c8c-1cfa2f983510,3f3c8315-cf62-443d-9113-6b1611d32ae2,7943718.725647854,7943720.015172189,7943732.845631427,5877,200,1.2895243354141712,12.830459238030016,160
52979ee9-611c-4062-a3d6-725c149bbf99,8797a59b-ae3b-4e72-b6ad-b0e2f7f7f714,7943718.725667081,7943720.011011982,7943732.8422801215,2021,200,1.2853449014946818,12.831268139183521,0
d63fc337-09bb-447c-8690-28753e4b3a92,eacc26c8-36c3-4905-b4ae-7c3f6f32cab4,7943719.246302946,7943721.333253429,7943732.906500239,5891,200,2.0869504837319255,11.573246809653938,176
bbaa0e69-edb4-45f9-a4d4-d86282875ddb,e767b27a-0d8e-42da-a7a2-ab0fcafec4f8,7943720.244529944,7943721.371672007,7943732.921885157,5877,200,1.1271420633420348,11.550213149748743,176
